Patient,Slice,Feature_2,Feature_27,Feature_280,Feature_435,Feature_446,Feature_800,Feature_1431,Feature_910,Feature_644,Feature_60,Feature_943,Feature_1351,Feature_1292,Feature_328,Feature_91,Feature_76,Feature_1503,Feature_1124,Feature_675,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
23.0,261.0,0.20244253,0.7872588,0.27083284,0.3135543,0.3725695,0.28792655,0.2863578,0.1601618,0.36460778,0.12844598,0.12810725,0.39087185,0.0,0.6001848,0.429465,0.16275913,0.19458663,0.7206203,0.32195592,0.3820239334027055,0.4340973511735777,4.128569776852816,3.898340848653024,21.365976709483643,36.0
23.0,262.0,0.19925177,0.7981345,0.2669977,0.30572915,0.344705,0.28534573,0.27783176,0.16900158,0.39013973,0.1327525,0.13703537,0.38613412,0.0,0.6032729,0.43286043,0.1446762,0.20063114,0.7208923,0.32633173,0.3934609346697258,0.4268193102096991,4.454564666103128,4.270800627943485,21.235861145493296,34.300000000000004
24.0,137.0,0.0,0.5044288,0.22603446,0.3082683,0.24620432,0.1100969,0.386323,0.0,0.6364982,0.09238389,0.0,0.524716,0.16061132,0.8405953,0.019708395,0.15210189,0.0,0.42964947,0.50719845,0.2474673008323424,0.5468091614545758,3.254411414982164,2.841189060642092,38.038999366531336,41.900000000000006
24.0,135.0,0.028823495,0.4557367,0.21473265,0.2059685,0.17360646,0.06645392,0.28249606,0.0,0.50998425,0.12194458,0.0,0.3446904,0.13109304,0.7012307,0.16466027,0.23353975,0.0,0.39765382,0.39401186,0.2760423897450136,0.5524222912063468,3.7260863529085104,2.8707482993197284,37.2412961759734,39.0
24.0,138.0,0.0,0.52099204,0.24067116,0.31607437,0.24083585,0.12521642,0.3912528,0.0,0.6261828,0.08378495,0.0,0.5500277,0.14490844,0.84675056,0.009899199,0.12978822,0.0,0.45145643,0.50491345,0.2512170518836893,0.5333035706362216,3.516687864567343,2.9516687864567337,38.49672591490535,43.1
24.0,139.0,0.0,0.52694553,0.23908108,0.31756955,0.23788893,0.12591645,0.39033931,0.0,0.6387484,0.07320565,0.0,0.5603641,0.1656666,0.8435436,0.015081108,0.12315081,0.0,0.47635365,0.5122069,0.246429010861176,0.5664469149561875,3.277055066498138,3.0788022505341104,37.991417873636536,44.2
24.0,134.0,0.0,0.47006214,0.2124598,0.27607554,0.24335033,0.09891483,0.3730187,0.0,0.57574403,0.135608,0.0,0.5883944,0.1263471,0.8286124,0.048758447,0.1689867,0.0066875815,0.42061567,0.50573885,0.2688754264347023,0.5450675622731309,3.246488363340577,2.9939176146365742,36.37004715886152,45.2
25.0,195.0,0.22453356,0.9588247,0.36211312,0.3526165,0.44947654,0.24004614,0.1325461,0.15893579,0.34501913,0.024475604,0.22784746,0.3835313,0.06436822,0.5742587,0.48013145,0.12756622,0.25537562,0.74167967,0.22214484,0.1271626297577854,0.4598424514584613,1.9796712802768168,1.7060986159169549,22.92819665161845,29.0
25.0,197.0,0.2189976,0.8919721,0.38023388,0.34333986,0.46147907,0.22905189,0.13283159,0.20838612,0.31736067,0.00837867,0.18357927,0.3696967,0.0444725,0.55247915,0.39940327,0.1292384,0.23026603,0.743593,0.23115516,0.1299510964526835,0.5639131518526221,1.6868518729128112,1.8653446511098932,21.657093123556155,24.0
25.0,198.0,0.20477486,0.87302583,0.26905602,0.31579155,0.40105277,0.22271287,0.14310913,0.20637518,0.3511751,0.044241443,0.10554457,0.3506188,0.05915366,0.55770314,0.3849756,0.14963458,0.17114377,0.7324693,0.23462188,0.1211100908070604,0.5538884463767051,1.748619755353762,2.120282510854901,20.26804497128967,40.0
