Paziente,752,1912,1923,1943,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
65,0.2043531,0.2998226,0.017656308,0.01487419,3.337819793836458,3.2115579768199543,0.9419478344340716,37.34695649646071
68,0.19785912,0.1633892,0.09781997,0.14713678,1.914731613523474,1.4555359717993912,0.9227813697146388,21.60670221430609
69,0.19232798,0.24147113,0.12211671,0.100506164,3.986594458534353,4.145725672660705,0.9510561694592315,64.60498519925105
70,0.19565032,0.3731157,0.03277433,0.0099805165,3.4982642146744234,3.678222931131544,0.9520855549071804,30.67742029810653
71,0.2149904,0.2607012,0.107733764,0.09164239,4.477230933962337,5.174975364871471,0.9686312152097456,48.70236727640415
74,0.16385238,0.34417826,0.024322834,0.0011301207,2.595449175088611,2.0753087574055025,0.9073764609042364,39.3076168397047
75,0.16330445,0.21606107,0.11437116,0.100982234,4.275497927516208,5.098582208523754,0.9487388398731184,56.70604563645827
76,0.21950774,0.30173194,0.0686522,0.0,3.3822265928264583,3.583458413125615,0.9290697861252488,43.245008754686175
78,0.205345,0.23793943,0.098793216,0.090751745,2.64764528400892,2.0508611157961805,0.9250708111693852,48.62082090122192
79,0.17885748,0.24783905,0.11651989,0.13199939,4.276668402499599,4.376972840890883,0.9541989947092804,64.8329261152096
81,0.2025043,0.17592959,0.11061124,0.12573034,3.098348348348348,2.353096339582826,0.9256010528885532,38.124274310437904
82,0.18717632,0.23271818,0.106454745,0.0833496,3.204838630366012,1.979183399170614,0.8940564626118581,34.05449117223396
84,0.183075,0.23970775,0.1276088,0.112237826,4.30454387790496,4.45379684228106,0.951381848997054,70.43229676891843
85,0.020584382,0.27905458,0.118455455,0.0,2.102458247325952,2.321542503283918,0.927854945273855,22.326042553094656
86,0.22552757,0.27410752,0.10611173,0.08318364,4.124218869074836,4.790123456790123,0.9315517716737416,24.02194598147496
87,0.17011163,0.22178428,0.15926298,0.121308565,3.958802499248221,5.044004143138761,0.9320575560782868,42.42320944706593
88,0.21204194,0.15298033,0.120148756,0.1481505,1.811211928169281,1.5948589039444911,0.9127742488291748,30.58394226255528
89,0.21631996,0.25423646,0.08511205,0.07074408,3.431027446178961,2.534945413733293,0.92329829169295,35.42339118171775
90,0.17660072,0.20048507,0.15447606,0.12079029,4.519525430739006,5.4490102289743065,0.946302503725752,95.25969797057957
91,0.18317057,0.2158595,0.11228893,0.14966878,2.9699826388888884,2.49984375,0.9307664092992488,29.87762524728318
92,0.19714919,0.22864664,0.115163125,0.08159007,4.435716395071008,3.866251442991758,0.9270265819943746,36.980399884344514
94,0.22326675,0.24533883,0.105912805,0.072970554,4.382114631541474,4.023211107155571,0.9352647370364464,33.17476049350593
95,0.14544107,0.19444999,0.12849838,0.11162003,4.2262856668448165,3.094172404667888,0.950521734774424,62.25560982873925
96,0.2127757,0.22715804,0.10475061,0.08052761,3.8513039475563886,3.40604117394962,0.9268097512140208,38.9411225476651
98,0.2092309,0.2524322,0.1212302,0.09267008,4.301878599270065,4.558741121369713,0.9465599526562524,84.53111301548832
100,0.22287583,0.2074048,0.078318864,0.07932118,1.5227049425434662,1.0115340253748557,0.9137475828746542,21.75216329793533
101,0.19821073,0.23944096,0.06607016,0.04371495,5.323335922604336,4.898580608714074,0.9573603600119128,61.13888576842714
