Paziente,105,620,333,741,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
84,43.49376,6.268241,1.3388796,5.9620976,4.30454387790496,4.45379684228106,0.951381848997054,70.43229676891843
85,13.218097,0.41908902,17.220243,18.038885,2.102458247325952,2.321542503283918,0.927854945273855,22.326042553094656
86,41.888542,9.032442,2.5835214,7.5467024,4.124218869074836,4.790123456790123,0.9315517716737416,24.02194598147496
87,45.511505,24.004986,1.3987863,3.6024542,3.958802499248221,5.044004143138761,0.9320575560782868,42.42320944706593
88,54.94966,10.187356,3.0772524,6.34213,1.811211928169281,1.5948589039444911,0.9127742488291748,30.58394226255528
89,46.979687,17.335384,2.0759184,9.521774,3.431027446178961,2.534945413733293,0.92329829169295,35.42339118171775
90,53.22429,15.583055,1.480751,3.865559,4.519525430739006,5.4490102289743065,0.946302503725752,95.25969797057957
91,43.63432,5.4783225,1.6069777,5.4799967,2.9699826388888884,2.49984375,0.9307664092992488,29.87762524728318
92,44.892372,5.017082,4.438999,5.2003493,4.435716395071008,3.866251442991758,0.9270265819943746,36.980399884344514
94,45.543938,12.951628,1.9587381,6.9629016,4.382114631541474,4.023211107155571,0.9352647370364464,33.17476049350593
95,40.78333,3.0134583,6.5379663,15.621756,4.2262856668448165,3.094172404667888,0.950521734774424,62.25560982873925
96,39.4608,15.4853115,1.3072946,13.414721,3.8513039475563886,3.40604117394962,0.9268097512140208,38.9411225476651
98,46.826477,8.342166,4.127548,3.9775724,4.301878599270065,4.558741121369713,0.9465599526562524,84.53111301548832
100,36.31916,1.5293,2.0015528,5.4000835,1.5227049425434662,1.0115340253748557,0.9137475828746542,21.75216329793533
101,41.47071,6.6799693,6.886641,5.4296975,5.323335922604336,4.898580608714074,0.9573603600119128,61.13888576842714
102,45.36579,12.566127,1.9840624,15.542996,2.703818359375,2.063193359375,0.9279234775061423,57.96347836511717
103,33.031097,0.9604843,2.224292,12.720014,3.307323820340209,4.771186924604559,0.9503616910461564,47.125688909970194
104,53.92165,21.544693,1.5707994,2.6254582,2.4280420683726343,2.6143326273628875,0.9237922133322596,40.21458619331042
105,41.02604,10.793699,2.618488,9.568533,1.325173725299551,2.051016614715892,0.9186748336847896,28.27146596713302
106,32.954475,3.2434623,1.820219,7.147708,3.225047685686626,3.79526306204411,0.9417859575240066,56.62170427640328
107,53.440136,11.575046,1.9313822,4.1113334,1.9634755928809864,2.076287835561584,0.9198244369149372,49.00996907375144
108,50.05583,12.914403,4.913352,5.112927,2.4460356652949247,2.363566529492456,0.9178227754243792,24.661868905023155
109,37.819427,6.1950235,1.1508272,9.441919,1.64470308706806,2.053477040684561,0.9096282939995864,16.005110098666
110,51.158375,18.36038,2.5800784,5.8277516,3.2603756744695525,1.8743153880481969,0.9194790719137048,39.37077302466598
111,57.495975,12.485299,1.8211899,5.0053744,3.618479955736633,3.2940998943715103,0.92565309205148,34.38902772233704
112,21.331406,2.3812542,4.782316,29.577255,2.581701673193307,2.664115343538626,0.9134211889299776,38.000618858654576
113,43.127068,15.093208,4.70045,11.263464,1.273740959894806,2.7790664036817887,0.9444265902417532,25.415938822451057
114,50.571415,12.213108,1.3695133,3.438268,2.3136795639836043,2.629521192739066,0.9130142898412128,21.79925625723702
115,34.40429,10.253069,4.0706887,11.405108,5.363359951886131,4.521225233051556,0.9583009437730298,90.18145564921336
116,41.517754,24.974895,0.8895288,12.2877655,1.712294952819453,2.8416869452565603,0.9247004441280572,26.84611752151532
117,37.501045,3.044991,14.096473,8.157926,2.316080348602401,3.7119070393594784,0.9404863394112398,34.088811294799875
118,37.45121,18.424814,1.1455927,7.0601416,1.4947617888158429,1.154406298190082,0.9095131242562754,27.805932149354625
119,16.441254,7.7447753,15.716511,15.950274,3.2460651942953227,3.2354973298904524,0.9279042365600934,67.47692759453872
120,43.322746,24.998287,1.0391936,12.890999,4.511907672746833,5.656065767953881,0.9519386593561298,37.45555286431835
123,40.7313,8.095264,1.6261804,3.8531713,3.5636212145489505,3.999897452331357,0.9290065926197156,78.22935376835613
124,48.094585,18.149464,1.4792545,3.1847672,3.1214002306210187,3.404533581883356,0.9300354432680874,59.639695336411165
126,39.70779,20.067606,0.7081361,12.937384,1.9604650327462552,2.073322876881264,0.919773387917155,21.51696668026769
127,43.19309,11.129246,0.26626635,6.469461,1.391347493140285,1.3389566059504667,0.9014557392185506,28.63437622276442
128,38.393658,4.1297016,1.0605175,7.005367,4.266169314636336,3.754832565314656,0.9374326464364962,37.003685628790805
129,15.636872,0.56084,2.99463,10.58875,1.8175818925617369,1.9427274627489624,0.9139183834912218,29.617811285720663
133,36.926876,15.17236,3.8062956,9.098287,4.565602216066482,4.6104199445983385,0.9409660228042704,37.95170095688415
135,40.208138,21.142847,2.1438534,18.180008,2.579723865877712,1.949664694280079,0.9268286779157158,21.0907276564162
136,39.029995,5.622146,1.0320244,6.279516,3.8250729125815335,4.2469426300819055,0.9479265735267066,65.13943507962802
137,42.873787,19.283928,1.5579166,8.695374,4.165472910927456,4.315555555555555,0.9453177754080958,35.99663510307286
138,47.066715,18.173975,4.1888165,9.546603,2.684969957458006,3.7343098986886543,0.926599583268038,21.62294729603781
139,53.723698,8.478579,4.07316,3.5312762,4.718745866616059,4.343057927758513,0.9299717304479808,64.84038283911242
141,13.591048,1.8824666,8.035458,18.822418,2.553593863651392,2.268465251603518,0.9256878797912846,24.67779597410008
142,56.59606,7.8172803,16.130188,8.070435,2.2230859375,3.4262109375,0.9233714422280748,30.391766476036505
144,15.6310005,6.8932486,8.399862,7.832232,3.8149092970521536,4.303004535147393,0.932616837245578,36.86158984301891
146,52.643593,10.846322,1.3067801,3.8674202,5.063604293781889,3.835061848021923,0.9283822386074816,19.17548763453549
147,36.95143,22.637762,2.657382,9.310257,2.3159471108189056,2.5700197238658777,0.9247408098639522,29.44282812261181
149,13.813635,2.8374052,10.865346,0.4948663,3.657541246636483,3.891617025382271,0.9251747260465748,92.842387323095
150,38.569664,5.256589,2.020318,6.743665,3.9414786427331694,4.909527193094853,0.9439781013400736,48.61884060342205
153,41.414524,16.85146,6.9931645,10.175666,2.6764662955317866,2.222472425512396,0.9417176739534128,32.29199254513264
155,58.456055,1.3905683,14.116977,5.6763005,3.6737463849629313,4.267551724265948,0.9459062591711448,44.87152779511974
158,40.214897,22.243183,0.9198485,5.6059637,2.368851464485913,2.494891892547745,0.9221160792920744,23.286490009237816
159,42.61795,3.345053,7.297296,6.180653,4.956499606645379,3.9980100883890977,0.9436895358157616,41.21119693268243
161,47.077614,11.2359705,1.9635105,6.651159,3.416457142857144,3.9286204081632654,0.960774945315485,44.185592067290585
163,52.792046,10.281377,2.3983097,2.128765,1.5259108724052837,2.5058628086643764,0.9310741093945468,14.741283749980308
166,54.185074,6.3476777,0.58367676,3.680057,1.8269452581939185,2.554889812083414,0.9250690504201492,40.11070193767479
168,42.094765,20.89649,1.3878193,8.670254,2.4445121411935813,3.3803913090476705,0.9334047196415576,25.69950139826444
169,15.97352,6.4377503,21.894964,4.728528,3.572947850295286,3.641836247364559,0.9458761939723432,52.78076128354104
170,42.27724,16.739424,4.228589,6.6767645,2.7400672509937967,2.97014083722614,0.9286822896890652,28.744193793608115
171,40.991795,20.432844,1.8052571,17.078505,3.415712799167534,2.582206035379813,0.9314387292248076,52.92990494011488
175,41.830566,19.530737,1.4085875,21.097267,1.452972905945812,1.3212226424452846,0.9231662651059794,21.3154571967072
176,34.341015,20.038715,2.0008082,6.6149125,5.763294982188891,4.44320668196814,0.9274414953206878,44.38237985024336
178,33.410103,18.325087,7.7233233,11.355548,3.409795918367347,2.89505306122449,0.9181403690256086,48.44298726327928
182,60.696342,10.31416,2.9905589,3.3465233,2.702114716675061,2.3375435796469146,0.9200610321333408,28.635644039114204
183,43.15245,18.324377,1.3155491,9.555258,1.3339506172839506,2.2133024691358028,0.923303394123688,22.655401439854177
188,41.05778,16.670103,1.1716666,9.330355,4.368828078524688,5.01977989292088,0.9389637521118817,42.626107527737965
189,44.741703,25.80034,0.877551,10.064061,2.967857479498539,5.454362648066107,0.945243111046702,31.34702326401299
190,19.721672,5.26715,1.6287832,11.990632,3.19421883288211,3.260641632394376,0.9135825204455318,53.4273289086259
193,37.462036,12.915096,5.316192,6.0347667,2.638322321172077,2.90382712502793,0.955402661645782,18.2880381881084
197,45.12667,1.3041162,3.3232186,8.086392,2.878135886976769,4.088618896727999,0.936650778814614,38.56346682304627
199,19.354237,7.210479,0.7088101,3.4482872,3.6879,2.3159,0.9063117730222991,44.27321878967414
200,37.16565,2.7532663,3.1520174,12.823075,1.6426931312940205,1.3412337355199906,0.9193763228460397,23.094319941743343
205,17.236847,2.488534,16.010538,13.176979,3.0013174526874256,3.912781071409496,0.9315694467858684,39.5720686535509
